Name,ModelPath,ModelType,MaterialPaths
delivery moogle,chara/demihuman/d1013/obj/equipment/e0001/model/d1013e0001_0001.mdl,Demihuman,
ferry skipper,chara/demihuman/d1012/obj/equipment/e0001/model/d1012e0001_0001.mdl,Demihuman,
ferry skipper,chara/demihuman/d1012/obj/equipment/e0001/model/d1012e0001_0001.mdl,Demihuman,
Tocktix,chara/demihuman/d1004/obj/equipment/e0001/model/d1004e0001_0001.mdl,Demihuman,
Noraxia,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
Garuda,chara/monster/m0095/obj/body/b0001/model/m0095b0001.mdl,Monster,
Amalj'aa,chara/demihuman/d1001/obj/equipment/e0001/model/d1001e0001_0001.mdl,Demihuman,
kobold,chara/demihuman/d1003/obj/equipment/e0001/model/d1003e0001_0001.mdl,Demihuman,
goblin pathfinder,chara/demihuman/d1004/obj/equipment/e0001/model/d1004e0001_0001.mdl,Demihuman,
Gigi,chara/monster/m0059/obj/body/b0001/model/m0059b0001.mdl,Monster,
Wolfe,chara/monster/m0041/obj/body/b0001/model/m0041b0001.mdl,Monster,
Amalj'aa warrior,chara/demihuman/d1001/obj/equipment/e0001/model/d1001e0001_0001.mdl,Demihuman,
Amalj'aa javelinier,chara/demihuman/d1001/obj/equipment/e0001/model/d1001e0001_0001.mdl,Demihuman,
Ixali chieftain,chara/demihuman/d1002/obj/equipment/e0001/model/d1002e0001_0001.mdl,Demihuman,
Temugg Zoh,chara/demihuman/d1001/obj/equipment/e0001/model/d1001e0001_0001.mdl,Demihuman,
Galvanth the Dominator,chara/monster/m0018/obj/body/b0001/model/m0018b0001.mdl,Monster,
Denn the Orcatoothed,chara/demihuman/d1007/obj/equipment/e0001/model/d1007e0001_0001.mdl,Demihuman,
Gyges the Great,chara/demihuman/d1009/obj/equipment/e0001/model/d1009e0001_0001.mdl,Demihuman,
delivery moogle,chara/demihuman/d1013/obj/equipment/e0001/model/d1013e0001_0001.mdl,Demihuman,
delivery moogle,chara/demihuman/d1013/obj/equipment/e0001/model/d1013e0001_0001.mdl,Demihuman,
Amalj'aa warrior,chara/demihuman/d1001/obj/equipment/e0001/model/d1001e0001_0001.mdl,Demihuman,
Ifrit,chara/monster/m0096/obj/body/b0001/model/m0096b0001.mdl,Monster,
Ramuh,chara/monster/m0123/obj/body/b0001/model/m0123b0001.mdl,Monster,
Frixio,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
Noraxia,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
Qiqirn trader,chara/demihuman/d1012/obj/equipment/e0001/model/d1012e0001_0001.mdl,Demihuman,
Qiqirn,chara/demihuman/d1012/obj/equipment/e0001/model/d1012e0001_0001.mdl,Demihuman,
Qiqirn trader,chara/demihuman/d1012/obj/equipment/e0001/model/d1012e0001_0001.mdl,Demihuman,
carriage chocobo,chara/demihuman/d0001/obj/equipment/e0001/model/d0001e0001_0001.mdl,Demihuman,
Boilstox,chara/demihuman/d1004/obj/equipment/e0001/model/d1004e0001_0001.mdl,Demihuman,
ゴブリンB,chara/demihuman/d1004/obj/equipment/e0001/model/d1004e0001_0001.mdl,Demihuman,
ゴブリンC,chara/demihuman/d1004/obj/equipment/e0001/model/d1004e0001_0001.mdl,Demihuman,
Memeroon,chara/demihuman/d1012/obj/equipment/e0001/model/d1012e0001_0001.mdl,Demihuman,
delivery moogle,chara/demihuman/d1013/obj/equipment/e0001/model/d1013e0001_0001.mdl,Demihuman,
delivery moogle,chara/demihuman/d1013/obj/equipment/e0001/model/d1013e0001_0001.mdl,Demihuman,
starved pup,chara/monster/m8028/obj/body/b0001/model/m8028b0001.mdl,Monster,
baby coeurl,chara/monster/m8013/obj/body/b0001/model/m8013b0001.mdl,Monster,
shifty thespian,chara/monster/m0016/obj/body/b0001/model/m0016b0001.mdl,Monster,
Impresario,chara/monster/m0016/obj/body/b0001/model/m0016b0001.mdl,Monster,
mucose mummer,chara/monster/m0055/obj/body/b0001/model/m0055b0001.mdl,Monster,
magic pot,chara/monster/m0079/obj/body/b0001/model/m0079b0001.mdl,Monster,
shifty thespian,chara/monster/m0016/obj/body/b0001/model/m0016b0001.mdl,Monster,
spirited thespian,chara/monster/m0016/obj/body/b0001/model/m0016b0001.mdl,Monster,
Impresario,chara/monster/m0016/obj/body/b0001/model/m0016b0001.mdl,Monster,
somber strongman,chara/monster/m0049/obj/body/b0001/model/m0049b0001.mdl,Monster,
magic pot,chara/monster/m0079/obj/body/b0001/model/m0079b0001.mdl,Monster,
shifty thespian,chara/monster/m0016/obj/body/b0001/model/m0016b0001.mdl,Monster,
Impresario,chara/monster/m0016/obj/body/b0001/model/m0016b0001.mdl,Monster,
magic pot,chara/monster/m0079/obj/body/b0001/model/m0079b0001.mdl,Monster,
creepy peddler,chara/monster/m0016/obj/body/b0001/model/m0016b0001.mdl,Monster,
creepy peddler,chara/monster/m0016/obj/body/b0001/model/m0016b0001.mdl,Monster,
creepy peddler,chara/monster/m0016/obj/body/b0001/model/m0016b0001.mdl,Monster,
Shantotto,chara/monster/m0166/obj/body/b0001/model/m0166b0001.mdl,Monster,
Gilgamesh,chara/monster/m0131/obj/body/b0001/model/m0131b0001.mdl,Monster,
Fibubb Gah,chara/demihuman/d1001/obj/equipment/e0001/model/d1001e0001_0001.mdl,Demihuman,
Narujj Boh,chara/demihuman/d1001/obj/equipment/e0001/model/d1001e0001_0001.mdl,Demihuman,
Yadovv Gah,chara/demihuman/d1001/obj/equipment/e0001/model/d1001e0001_0001.mdl,Demihuman,
Hamujj Gah,chara/demihuman/d1001/obj/equipment/e0001/model/d1001e0001_0001.mdl,Demihuman,
Amalj'aa vendor,chara/demihuman/d1001/obj/equipment/e0001/model/d1001e0001_0001.mdl,Demihuman,
Tonaxia,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
Ponnixia,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
Moxia,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
Olmxio,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
sylphic vendor,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
sluggish sylph,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
irritable sylph,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
Frixio,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
battle drake,chara/monster/m0046/obj/body/b0002/model/m0046b0002.mdl,Monster,
Zagozz Teh,chara/demihuman/d1001/obj/equipment/e0001/model/d1001e0001_0001.mdl,Demihuman,
chocobo,chara/demihuman/d0001/obj/equipment/e0001/model/d0001e0001_0001.mdl,Demihuman,
chocobo,chara/demihuman/d0001/obj/equipment/e0001/model/d0001e0001_0001.mdl,Demihuman,
chocobo,chara/demihuman/d0001/obj/equipment/e0001/model/d0001e0001_0001.mdl,Demihuman,
Diluxio,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
elated sylph,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
elated sylph,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
elated sylph,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
exhausted sylph,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
exhausted sylph,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
exhausted sylph,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
relieved sylph,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
relieved sylph,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
Frixio,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
Kupli Kipp,chara/demihuman/d1006/obj/equipment/e0001/model/d1006e0001_0001.mdl,Demihuman,
Kupta Kapa,chara/demihuman/d1006/obj/equipment/e0001/model/d1006e0001_0001.mdl,Demihuman,
Kupdi Koop,chara/demihuman/d1006/obj/equipment/e0001/model/d1006e0001_0001.mdl,Demihuman,
Hamujj Gah,chara/demihuman/d1001/obj/equipment/e0001/model/d1001e0001_0001.mdl,Demihuman,
cavalry drake,chara/monster/m0046/obj/body/b0002/model/m0046b0002.mdl,Monster,
cavalry drake,chara/monster/m0046/obj/body/b0002/model/m0046b0002.mdl,Monster,
cavalry drake,chara/monster/m0046/obj/body/b0002/model/m0046b0002.mdl,Monster,
mellow sylph,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
hostile sylph,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
hostile sylph,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
hostile sylph,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
hostile sylph,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
hostile sylph,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
hostile sylph,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
drake whisperer,chara/demihuman/d1001/obj/equipment/e0001/model/d1001e0001_0001.mdl,Demihuman,
cavalry drake,chara/monster/m0046/obj/body/b0002/model/m0046b0002.mdl,Monster,
drake whisperer,chara/demihuman/d1001/obj/equipment/e0001/model/d1001e0001_0001.mdl,Demihuman,
cavalry drake,chara/monster/m0046/obj/body/b0002/model/m0046b0002.mdl,Monster,
Little Solace sylph,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
Little Solace sylph,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
mysterious sylph,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
mysterious sylph,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
peculiar sylph,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
peculiar sylph,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
peculiar sylph,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
peculiar sylph,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
789th Order Pickman Gi Gu,chara/demihuman/d1003/obj/equipment/e0001/model/d1003e0001_0001.mdl,Demihuman,
789th Order Dustman Bo Zu,chara/demihuman/d1003/obj/equipment/e0001/model/d1003e0001_0001.mdl,Demihuman,
789th Order Craftsman Bo Gu,chara/demihuman/d1003/obj/equipment/e0001/model/d1003e0001_0001.mdl,Demihuman,
789th Order Dustman Bo Bu,chara/demihuman/d1003/obj/equipment/e0001/model/d1003e0001_0001.mdl,Demihuman,
789th Order Acolyte Ba Go,chara/demihuman/d1003/obj/equipment/e0001/model/d1003e0001_0001.mdl,Demihuman,
175th Order Alchemist Bi Bi,chara/demihuman/d1003/obj/equipment/e0001/model/d1003e0001_0001.mdl,Demihuman,
Novv,chara/demihuman/d1007/obj/equipment/e0001/model/d1007e0001_0001.mdl,Demihuman,
Fyuu,chara/demihuman/d1007/obj/equipment/e0001/model/d1007e0001_0001.mdl,Demihuman,
Houu,chara/demihuman/d1007/obj/equipment/e0001/model/d1007e0001_0001.mdl,Demihuman,
Seww,chara/demihuman/d1007/obj/equipment/e0001/model/d1007e0001_0001.mdl,Demihuman,
Pyuu,chara/demihuman/d1007/obj/equipment/e0001/model/d1007e0001_0001.mdl,Demihuman,
Pahh,chara/demihuman/d1007/obj/equipment/e0001/model/d1007e0001_0001.mdl,Demihuman,
pygmy bomb,chara/monster/m8003/obj/body/b0001/model/m8003b0001.mdl,Monster,
pygmy bomb,chara/monster/m8003/obj/body/b0001/model/m8003b0001.mdl,Monster,
pygmy bomb,chara/monster/m8003/obj/body/b0001/model/m8003b0001.mdl,Monster,
pygmy bomb,chara/monster/m8003/obj/body/b0001/model/m8003b0001.mdl,Monster,
pygmy bomb,chara/monster/m8003/obj/body/b0001/model/m8003b0001.mdl,Monster,
13th Order Alchemist Ga Zi,chara/demihuman/d1003/obj/equipment/e0001/model/d1003e0001_0001.mdl,Demihuman,
captured kobold,chara/demihuman/d1003/obj/equipment/e0001/model/d1003e0001_0001.mdl,Demihuman,
itinerant moogle,chara/demihuman/d1006/obj/equipment/e0001/model/d1006e0001_0001.mdl,Demihuman,
Mormo,chara/demihuman/d1016/obj/equipment/e0001/model/d1016e0001_0001.mdl,Demihuman,
delivery moogle,chara/demihuman/d1013/obj/equipment/e0001/model/d1013e0001_0001.mdl,Demihuman,
chocobo,chara/demihuman/d0001/obj/equipment/e0001/model/d0001e0001_0001.mdl,Demihuman,
chocobo,chara/demihuman/d0001/obj/equipment/e0001/model/d0001e0001_0001.mdl,Demihuman,
chocobo,chara/demihuman/d0001/obj/equipment/e0001/model/d0001e0001_0001.mdl,Demihuman,
delivery moogle,chara/demihuman/d1013/obj/equipment/e0001/model/d1013e0001_0001.mdl,Demihuman,
delivery moogle,chara/demihuman/d1013/obj/equipment/e0001/model/d1013e0001_0001.mdl,Demihuman,
delivery moogle,chara/demihuman/d1013/obj/equipment/e0001/model/d1013e0001_0001.mdl,Demihuman,
delivery moogle,chara/demihuman/d1013/obj/equipment/e0001/model/d1013e0001_0001.mdl,Demihuman,
delivery moogle,chara/demihuman/d1013/obj/equipment/e0001/model/d1013e0001_0001.mdl,Demihuman,
delivery moogle,chara/demihuman/d1013/obj/equipment/e0001/model/d1013e0001_0001.mdl,Demihuman,
delivery moogle,chara/demihuman/d1013/obj/equipment/e0001/model/d1013e0001_0001.mdl,Demihuman,
Gigi,chara/monster/m0059/obj/body/b0001/model/m0059b0001.mdl,Monster,
Laxio,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
Teteroon,chara/demihuman/d1012/obj/equipment/e0001/model/d1012e0001_0001.mdl,Demihuman,
Gegeroon,chara/demihuman/d1012/obj/equipment/e0001/model/d1012e0001_0001.mdl,Demihuman,
chocobo,chara/demihuman/d0001/obj/equipment/e0001/model/d0001e0001_0001.mdl,Demihuman,
chocobo,chara/demihuman/d0001/obj/equipment/e0001/model/d0001e0001_0001.mdl,Demihuman,
Brayflox Alltalks,chara/demihuman/d1004/obj/equipment/e0001/model/d1004e0001_0001.mdl,Demihuman,
Brayflox Alltalks,chara/demihuman/d1004/obj/equipment/e0001/model/d1004e0001_0001.mdl,Demihuman,
fallen sylph,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
magitek reaper,chara/demihuman/d0002/obj/equipment/e0001/model/d0002e0001_0001.mdl,Demihuman,
Sabotendrick,chara/monster/m0036/obj/body/b0001/model/m0036b0001.mdl,Monster,
Sabotendred,chara/monster/m0036/obj/body/b0001/model/m0036b0001.mdl,Monster,
Sabotendale,chara/monster/m0036/obj/body/b0001/model/m0036b0001.mdl,Monster,
Claxio,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
Tiggy,chara/monster/m0028/obj/body/b0001/model/m0028b0001.mdl,Monster,
Tiggy,chara/monster/m0028/obj/body/b0001/model/m0028b0001.mdl,Monster,
peiste carcass,chara/monster/m0034/obj/body/b0002/model/m0034b0002.mdl,Monster,
angler carcass,chara/monster/m0082/obj/body/b0001/model/m0082b0001.mdl,Monster,
Kazagg Chah,chara/demihuman/d1001/obj/equipment/e0001/model/d1001e0001_0001.mdl,Demihuman,
269th Order Mendicant Da Za,chara/demihuman/d1003/obj/equipment/e0001/model/d1003e0001_0001.mdl,Demihuman,
Dozol Meloc,chara/demihuman/d1002/obj/equipment/e0001/model/d1002e0001_0001.mdl,Demihuman,
delivery moogle,chara/demihuman/d1013/obj/equipment/e0001/model/d1013e0001_0001.mdl,Demihuman,
delivery moogle,chara/demihuman/d1013/obj/equipment/e0001/model/d1013e0001_0001.mdl,Demihuman,
delivery moogle,chara/demihuman/d1013/obj/equipment/e0001/model/d1013e0001_0001.mdl,Demihuman,
delivery moogle,chara/demihuman/d1013/obj/equipment/e0001/model/d1013e0001_0001.mdl,Demihuman,
magic pot,chara/monster/m0079/obj/body/b0001/model/m0079b0001.mdl,Monster,
Komuxio,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
Brayflox Alltalks,chara/demihuman/d1004/obj/equipment/e0001/model/d1004e0001_0001.mdl,Demihuman,
Titan,chara/monster/m0098/obj/body/b0001/model/m0098b0001.mdl,Monster,
2nd Order Patriarch Za Da,chara/demihuman/d1003/obj/equipment/e0001/model/d1003e0001_0001.mdl,Demihuman,
magitek reaper,chara/demihuman/d0002/obj/equipment/e0001/model/d0002e0001_0001.mdl,Demihuman,
magitek reaper,chara/demihuman/d0002/obj/equipment/e0001/model/d0002e0001_0001.mdl,Demihuman,
cowering kobold,chara/demihuman/d1003/obj/equipment/e0001/model/d1003e0001_0001.mdl,Demihuman,
crazed kobold,chara/demihuman/d1003/obj/equipment/e0001/model/d1003e0001_0001.mdl,Demihuman,
Knolexia,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
Sahagin priest,chara/demihuman/d1007/obj/equipment/e0001/model/d1007e0001_0001.mdl,Demihuman,
Kazagg Chah,chara/demihuman/d1001/obj/equipment/e0001/model/d1001e0001_0001.mdl,Demihuman,
Dozol Meloc,chara/demihuman/d1002/obj/equipment/e0001/model/d1002e0001_0001.mdl,Demihuman,
269th Order Mendicant Da Za,chara/demihuman/d1003/obj/equipment/e0001/model/d1003e0001_0001.mdl,Demihuman,
peculiar tonberry,chara/monster/m0022/obj/body/b0002/model/m0022b0002.mdl,Monster,
Noraxia,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
Noraxia,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
snipper shell,chara/monster/m0038/obj/body/b0001/model/m0038b0001.mdl,Monster,
Sebastian,chara/monster/m0086/obj/body/b0001/model/m0086b0001.mdl,Monster,
Tiggy,chara/monster/m0028/obj/body/b0001/model/m0028b0001.mdl,Monster,
angler carcass,chara/monster/m0082/obj/body/b0001/model/m0082b0001.mdl,Monster,
Sabotendrick,chara/monster/m0036/obj/body/b0001/model/m0036b0001.mdl,Monster,
Sabotendred,chara/monster/m0036/obj/body/b0001/model/m0036b0001.mdl,Monster,
Sabotendale,chara/monster/m0036/obj/body/b0001/model/m0036b0001.mdl,Monster,
Sebastian bound,chara/monster/m0086/obj/body/b0001/model/m0086b0001.mdl,Monster,
Pukno Poki,chara/demihuman/d1006/obj/equipment/e0001/model/d1006e0001_0001.mdl,Demihuman,
peculiar tonberry,chara/monster/m0022/obj/body/b0002/model/m0022b0002.mdl,Monster,
peculiar tonberry,chara/monster/m0022/obj/body/b0002/model/m0022b0002.mdl,Monster,
Surito Carito,chara/monster/m0022/obj/body/b0002/model/m0022b0002.mdl,Monster,
Pukno Poki,chara/demihuman/d1006/obj/equipment/e0001/model/d1006e0001_0001.mdl,Demihuman,
Kupcha Kupa,chara/demihuman/d1006/obj/equipment/e0001/model/d1006e0001_0001.mdl,Demihuman,
Pukni Pakk,chara/demihuman/d1006/obj/equipment/e0001/model/d1006e0001_0001.mdl,Demihuman,
Kazagg Chah,chara/demihuman/d1001/obj/equipment/e0001/model/d1001e0001_0001.mdl,Demihuman,
Dozol Meloc,chara/demihuman/d1002/obj/equipment/e0001/model/d1002e0001_0001.mdl,Demihuman,
269th Order Mendicant Da Za,chara/demihuman/d1003/obj/equipment/e0001/model/d1003e0001_0001.mdl,Demihuman,
269th Order Mendicant Da Za,chara/demihuman/d1003/obj/equipment/e0001/model/d1003e0001_0001.mdl,Demihuman,
Dozol Meloc,chara/demihuman/d1002/obj/equipment/e0001/model/d1002e0001_0001.mdl,Demihuman,
Kazagg Chah,chara/demihuman/d1001/obj/equipment/e0001/model/d1001e0001_0001.mdl,Demihuman,
Dozol Meloc,chara/demihuman/d1002/obj/equipment/e0001/model/d1002e0001_0001.mdl,Demihuman,
269th Order Mendicant Da Za,chara/demihuman/d1003/obj/equipment/e0001/model/d1003e0001_0001.mdl,Demihuman,
Kazagg Chah,chara/demihuman/d1001/obj/equipment/e0001/model/d1001e0001_0001.mdl,Demihuman,
Dozol Meloc,chara/demihuman/d1002/obj/equipment/e0001/model/d1002e0001_0001.mdl,Demihuman,
269th Order Mendicant Da Za,chara/demihuman/d1003/obj/equipment/e0001/model/d1003e0001_0001.mdl,Demihuman,
Qiqirn trader,chara/demihuman/d1012/obj/equipment/e0001/model/d1012e0001_0001.mdl,Demihuman,
ガルキマセラ,chara/monster/m0016/obj/body/b0001/model/m0016b0001.mdl,Monster,
ガルキマセラ,chara/monster/m0016/obj/body/b0001/model/m0016b0001.mdl,Monster,
ガルキマセラ,chara/monster/m0016/obj/body/b0001/model/m0016b0001.mdl,Monster,
269th Order Mendicant Da Za,chara/demihuman/d1003/obj/equipment/e0001/model/d1003e0001_0001.mdl,Demihuman,
coddled spriggan,chara/monster/m0028/obj/body/b0002/model/m0028b0002.mdl,Monster,
coddled spriggan,chara/monster/m0028/obj/body/b0002/model/m0028b0002.mdl,Monster,
coddled spriggan,chara/monster/m0028/obj/body/b0002/model/m0028b0002.mdl,Monster,
coddled spriggan,chara/monster/m0028/obj/body/b0002/model/m0028b0002.mdl,Monster,
coddled spriggan,chara/monster/m0028/obj/body/b0002/model/m0028b0002.mdl,Monster,
coddled spriggan,chara/monster/m0028/obj/body/b0002/model/m0028b0002.mdl,Monster,
coddled spriggan,chara/monster/m0028/obj/body/b0002/model/m0028b0002.mdl,Monster,
coddled spriggan,chara/monster/m0028/obj/body/b0002/model/m0028b0002.mdl,Monster,
coddled spriggan,chara/monster/m0028/obj/body/b0002/model/m0028b0002.mdl,Monster,
coddled spriggan,chara/monster/m0028/obj/body/b0002/model/m0028b0002.mdl,Monster,
coddled spriggan,chara/monster/m0028/obj/body/b0002/model/m0028b0002.mdl,Monster,
coddled spriggan,chara/monster/m0028/obj/body/b0002/model/m0028b0002.mdl,Monster,
coddled spriggan,chara/monster/m0028/obj/body/b0002/model/m0028b0002.mdl,Monster,
coddled spriggan,chara/monster/m0028/obj/body/b0002/model/m0028b0002.mdl,Monster,
coddled spriggan,chara/monster/m0028/obj/body/b0002/model/m0028b0002.mdl,Monster,
coddled spriggan,chara/monster/m0028/obj/body/b0002/model/m0028b0002.mdl,Monster,
coddled spriggan,chara/monster/m0028/obj/body/b0002/model/m0028b0002.mdl,Monster,
coddled spriggan,chara/monster/m0028/obj/body/b0002/model/m0028b0002.mdl,Monster,
coddled spriggan,chara/monster/m0028/obj/body/b0002/model/m0028b0002.mdl,Monster,
coddled spriggan,chara/monster/m0028/obj/body/b0002/model/m0028b0002.mdl,Monster,
coddled spriggan,chara/monster/m0028/obj/body/b0002/model/m0028b0002.mdl,Monster,
coddled spriggan,chara/monster/m0028/obj/body/b0002/model/m0028b0002.mdl,Monster,
coddled spriggan,chara/monster/m0028/obj/body/b0002/model/m0028b0002.mdl,Monster,
coddled spriggan,chara/monster/m0028/obj/body/b0002/model/m0028b0002.mdl,Monster,
coddled spriggan,chara/monster/m0028/obj/body/b0002/model/m0028b0002.mdl,Monster,
